PRG,County,Use,Address,City,State,TAX ID ,Tax ID ,Map/ Grid/ Parcel,Legal Desc.,Grantor,Grantee,Sale Date,Deed,Property Rights,Conditions at Sale,Time on Market,Sale Price,Price/GBA,Vacancy,NOI,CAP RATE,LAND SIZE (SF),GBA (SF),YEAR BUILT,Parking,Zone,Utilities,APT ONLY,APT ONLY,APT ONLY,APT ONLY,Comments
01-2007-VAC-003,Carroll ,Vacant Land,Lot 12 Back Acre Circle,Mt Airy,MD,13,431977,75/ 12/ 327,Twin Arch Business Park,Emmett Full,Altimate Properties LLC,9/21/2018,9124/ 140,Fee Simple,Arms-Length,1460,"$1,127,500.00 ",,,,,"431,039",,,Onsite parking available,I,All available,,,,,"The property was vacant at the time of sale and the subject property owners are currently pursuing site plan approval from the Town of Mt. Airy to allow the construction of an office/warehouse flex building that will have approximately 23,075 square feet of gross building area.     "
01-2007-50710-001,Carroll ,Warehouse Condo,"401 Center Street, Unit 102",Mt Airy,MD,13,22925,601/ 4/ 1425,Mt Airy Trade Center Condo,William Strayton Trustee,401 Center Street LLC,9/11/2019,9406/ 94,Leased-Fee,Arms-Length,Unknown,"$145,000.00 ",$125.00 ,0.00%,Unknown,Unknown,"88,814","1,193",1987,Onsite parking available,CC,All available,,,,,"Property regime is located in ""Mount Airy Trade Center Condominium” Regime.  The Mount Airy Trade Center Condominium Regime has a total 2.0389 acres of land.  This condominium regime was built for the purpose of having ten warehouse condominiums.  The total condominium regime has approximately 22,052 gross square feet of building area.  The condominium units’ range in size from approximately 1,152 condominium square feet to 3,869 condominium square feet.  The buildings were constructed in 1987 and upon observation, appears to be 100% occupied.  Unit 102 has a total of 1,193 square feet of demised condominium area.  The condominium has one metal pedestrian entrance and one rollup door.   There is approximately 374 square feet pf office space in the unit. The unit overall is in average condition.  "
01-2007-50710-002,Carroll ,Warehouse Condo,"401 Center Street, Unit 101",Mt Airy,MD,13,22917,601/ 4/ 1425,Mt Airy Trade Center Condo,Louis Nichols,Come to Center LLC,3/13/2018,8962/ 54,Leased-Fee,Arms-Length,310,"$135,500.00 ",$112.00 ,0.00%,Unknown,Unknown,"4,636","1,214",1987,Onsite parking available,CC,All available,,,,,"Property regime is located in ""Mount Airy Trade Center Condominium” Regime.  The Mount Airy Trade Center Condominium Regime has a total 2.0389 acres of land.  This condominium regime was built for the purpose of having ten warehouse condominiums.  The total condominium regime has approximately 22,052 gross square feet of building area.  The condominium units’ range in size from approximately 1,152 condominium square feet to 3,869 condominium square feet.  The buildings were constructed in 1987 and upon observation, appears to be 100% occupied.  Unit 101 has a total of 1,214 square feet of demised condominium area, with one finished office and restroom, with remaining portion of the building open workspace.  "
01-2007-50000-001,Carroll ,Warehouse/ Flex,2960 Old Westminster Pike,Finksburg,MD,4,22955,59/ 17/ 394,,William Sagastume,Comfort Temp Hearing and Cooling LLC,12/6/2018,9179/ 470,Fee Simple,Arms-Length,241,"$150,000.00 ",$124.00 ,0.00%,Unknown,Unknown,"10,890","1,209",1983,Onsite parking available,BR,All available,,,,,The subject property is improved with a one-story flex building with a that was originally constructed in 1983 according to the state assessment database.  The property has finished office space in the front of the building and open warehouse in the back. The building was in average condition at the time of sale.
01-2009-40000-001,Charles,Professional Office,2939 Old Washington Road,Waldorf,MD,6,59848,8/ 22/ 120,Tidewater Lots Sub,Steven Atkocius,Michael Weaver Insurance LLC,9/13/2019,10784/ 61,Leased-Fee,Arms-Length,Unknown,"$360,000.00 ",$228.72 ,0.00%,Unknown,Unknown,"33,105","1,574",1950,Onsite parking available,WC,All available,,,,,"The property is improved with an office building that has approximately 1,574 square feet of gross building area.  According to Charles County land records, the building was constructed in 1950.   The roof is sloped asphalt with vinyl clapboard siding.  Interior finishing includes a combination of laminate hardwood flooring throughout the first floor, carpet and vinyl along the second floor and drywall finished walls.  The first floor is exposed wood painted ceilings and second floor contains drywall ceilings.  There are seven private offices throughout and a kitchenette along the first floor.  Each floor contains one- three-piece bathroom.  The basement is unfinished and accessed via rear cellar entrance and interior stairwell.  The interior is well maintained and considered above average condition.  "
01-2009-40000-002,Charles,Professional Office,114 La Grange Avenue,La Plata,MD,1,2171,113/ 13/ 122,Lot 6 La Grange Ave La Plata,Gasparovic Revocable Living Trust,Waugh & Associates LLC,9/7/2018,10394/ 172,Fee Simple,Arms-Length,Unknown,"$775,000.00 ",$175.18 ,0.00%,Unknown,Unknown,"10,146","4,424",1950,Onsite parking available,CB,All available,,,,,"This property was a former title office including four offices, kitchen/break room, and a large conference room.  Property was in average condition and well maintained.  "
01-2009-40000-003,Charles,Professional Office,116 La Grange Avenue,La Plata,MD,1,3011,113/ 13/ 121,0.291 AC E SI La Grange Ave La Plata,"161 La Grange Avenue, LLC","Tydak, LLC",1/23/2018,10149/ 462,Fee Simple,Arms-Length,Unknown,"$335,000.00 ",$202.66 ,0.00%,Unknown,Unknown,"12,675","1,653",1955,Onsite parking available,CB,All available,,,,,"This property was purchased for a law office.  Property was well maintained and contained offices, kitchen/break room, and a large conference room.  "
01-2009-30000-001,Charles,Retail,2975 Shasha Place,Waldorf,MD,6,338097,8/ 20/ 674,Lot C 2.1070AC E West Pkwys S Plaza Dr,Bowie Investments LLC,Brandywine Corporex Plaza II,10/3/2019,10811/ 452,Leased-Fee,Arms-Length,Unknown,"$3,200,000.00 ",$277.06 ,0.00%,Unknown,Unknown,"91,476","11,550",2009,Onsite parking available,CB,All available,,,,,"The property is improved with a retail strip building that has approximately 11,550 square feet of gross building area.  According to Charles County land records, the building was constructed in 2009.  The building is currently 100% leased to five tenants: Foster’s Grille, Solar Nails, Z&J Enterprises (two units), and Once Upon a Child.  Overall the building is in above average condition and has been well maintained.  "
01-2009-30000-002,Charles,Retail,2875 Crain Highway,Waldorf,MD,6,55362,8/ 15/ 100,N/W SI RT 301,Crain Highway Investments LLC,"ELS Waldorf, LLC",1/17/2019,10520/ 476,Leased-Fee,Arms-Length,Unknown,"$4,900,000.00 ",$327.98 ,0.00%,Unknown,Unknown,"61,851","14,940",2016,Onsite parking available,CB,All available,,,,,"Shopping center retail building containing 14,940 SFGBA was 100% leased at time of sale.  Site and building were well-maintained and contained approximately 70 parking spaces.  "
01-2009-30000-003,Charles,Retail,2915 Crain Highway,Waldorf,MD,6,226086,8/ 21/ 770,W SI RT 301 Moran's Sub,Lenhart,"Silver Hill Center, LLC",6/26/2017,9921/ 246,Leased-Fee,Arms-Length,Unknown,"$3,500,000.00 ",$388.89 ,0.00%,Unknown,Unknown,"50,621","9,000",1984,Onsite parking available,CB,All available,,,,,"Three-unit retail building containing 9,000 SFGBA was 100% leased at time of sale.  Site and building were well-maintained and contained 50 parking spaces.  "
01-2009-VAC-001,Charles,Vacant Land,3 Henry Ford Circle,Waldorf,MD,6,185703,15/ 10/ 712,St. Charles Ind. PK EAST,3M Developments LLC,"CVMP Properties, LLC",10/31/2018,10459/ 154,Fee Simple,Arms-Length,328,"$137,000.00 ",,,,,"43,337",,,Onsite parking available,PUD,All available,,,,,Land was purchased for long-term development for industrial flex building.  
01-2009-VAC-002,Charles,Vacant Land,27705 Three Notch Road,Mechanicsville,MD,5,9081,9/ 21/ 194,Off MD Rt 5,Village Center LLC,Mid Country Equity Partners LLC,2/3/2017,4586/ 71,Fee Simple,Arms-Length,Unknown,"$1,375,000.00 ",,,,,"189,050",,,Onsite parking available,TMX,All available,,,,,"Property was graded, curbes and storm water in place for pad site."
01-2009-50000-001,Charles,Warehouse/ Flex,10510 Middleport Lane,White Plains,MD,6,167055,23/ 6/ 401,N/W SI 301 White Plains,Middleport Lane LLC,Three Lakes LLC,3/12/2019,10563/ 279,Leased-Fee,Arms-Length,Unknown,"$2,350,000.00 ",$68.71 ,0.00%,Unknown,Unknown,"216,841","34,202",2008,Onsite parking available,CC,All available,,,,,"The site is located on Parcel 273 and consists of 4.978 acres, or 216,841 square feet of land.  The property is located approximately 485 feet off Crain Highway (MD Route 301).  The site’s current topography is somewhat level with street grade and approximately 38 feet of frontage along Middleport Lane.  The site has public utilities and there are approximately 45 lined parking spaces.  The property is improved with three buildings used for industrial uses containing a total of 34,202 square feet of gross building area with approximately 11% of improvements finished as showroom and office.  The remaining 89% of finish is storage warehouse.  According to property records and approximations, the buildings were construction in phases from 1987 through 2008.  Overall, the building and site is in average condition and well-maintained for its current use as a roofing and contractor facility.  "
01-2009-50000-002,Charles,Warehouse/ Flex,69 Industrial Park Drive,Waldorf,MD,6,17274,15/ 9/ 273,St. Charles Inductrial Park,JD Williams Inc,69 Industrial Park Drive LLC,4/25/2018,10249/56,Leased-Fee,Arms-Length,Unknown,"$675,000.00 ",$64.09 ,Unknown,Unknown,Unknown,"92,347","10,532",1971,Onsite parking available,PUD,All available,,,,,"At the time of sale, this property was improved with a flex warehouse and office building that, according to our measurements, contains approximately 10,532 square feet of gross building area.  The improvements were built in 1971 according to Charles County Land Records.  The first-floor office area measures approximately 37’ X 51’ and contains 1,887 gross square feet of building area that was considered poor condition.  The remaining 8,645 square feet was used as warehouse, which is 82% of the improvements.  The warehouse area has no cooling system but has hanging radiant heating source throughout.   The overall condition of the warehouse portion was fair. "
01-2009-50000-003,Charles,Warehouse/ Flex,68 Industrial Park Drive,Waldorf,MD,6,179258,15/ 8/ 691,Carrington Neighborhood St Charles Sub,"Ferguson Enterprises, LLC",Bowie Investments LLC,9/20/2018,10400/ 155,Leased-Fee,Arms-Length,185,"$1,100,000.00 ",$116.23 ,0.00%,Unknown,Unknown,"96,703","9,464",1988,Onsite parking available,PUD,All available,,,,,"Warehouse building originally constructed in 1988 with approximately 25% office finish.  Fully leased to NAPA at the time of sale.  According to information reflected in CoStar, the building was leased for $12/SF."
01-2009-50000-004,Charles,Warehouse/ Flex,6410 Trust Place,Hughesville,MD,9,25758,36/ 16/ 376,231 Estates Sub,"Haynes Brothers Properties, LLC",Hammat,3/9/2018,10201/ 169,Fee Simple,Arms-Length,185,"$545,000.00 ",$109.00 ,0.00%,Unknown,Unknown,"48,352","5,000",2006,Onsite parking available,CV,All available,,,,,Warehouse building originally constructed in 2006 with approximately 40% office finish.  Remaining warehouse was climate controlled.    
01-2011-17000-001,Frederick,Auto Sales/ Service,536 West  South Street,Frederick,MD,2,28085,414/ 1201A,E Main & Water St Thurmont,"Gradel, LLC",Three Sons RE Investment,3/13/2017,5176/ 371,Leased-Fee,Arms-Length,540,"$825,000.00 ",$324.55 ,Unavailable,Unavailable,Unavailable,"29,719","2,542",1945,Onsite parking available,DB,All available,,,,,"At the time of sale, the property is improved with a one-story multi-use building which has approximately 2,542 square feet of gross building area.  The building includes two-bay vehicle service area, professional offices, customer service/waiting area, and employee work areas.  Purchase was essentially “turn-key” that included tangible and intangible assets -- office equipment, auto lifts, tools, client database and business name.  According to the broker this contributed approximately $100,000 to the purchase price. "
01-2011-40000-002,Frederick,Medical Office,52 Thomas Johnson Drive,Frederick,MD,2,147998,400/ 6/ 1142,"Lot 2, Hayward Rpad Estates",Fisher & Grandia Enterprises LLC,52 Thomas Johnson LLC,5/30/2019,13008/ 157,Fee Simple,Arms-Length,30,"$1,650,000.00 ",$227.99 ,Unknown,Unknown,Unknown,"43,560","7,237",1995,37 spaces onsite parking,PB,All available,,,,,"At the time of the property inspection, Lot 1 is improved with two nearly identical one-story office buildings which were originally constructed in 2001 and which include a total of 21,168 square feet of gross building/leasing area.  The first building, which is identified as “Building A,” includes approximately 10,584 square feet of gross building area.  The second building, which is identified as “Building B,” includes approximately 10,584 square feet of gross building area.  Property was sold with adjacent vacent parcel (05-187192)"
01-2011-40000-003,Frederick,Medical Office,197 Thomas Johnson Drive,Frederick,MD,2,132508,401/ 6/ 1142,Hayward Estates,Gutenberg Properties LLC,7010 RH LLC,6/28/2017,11897/ 407,Leased-Fee,Arms-Length,700,"$2,400,000.00 ",$235.62 ,0%,Unknown,8%,"43,560","10,186",1986,Onsite parking available,PB,All available,,,,,"Medical/office building originally constructed in 1995 sold to Dr. Sivakumar (Frederick Pediatric Associates) by Dr. Fisher and Dr. Grandia (Orthopedic Specialists of Frederick).  Sellers operated an orthopedic practice and the new owner will convert to dental use for a pediatric dental practice.  According to the broker, there were three offers presented within the first 30 days after the initial listing.  Condition was noted as good by the listing broker, but the site condition was below average.  Estimated conversion cost is approximately $1,000,000 ($138/SF)."
01-2011-40000-004,Frederick,Medical Office,5280 Corporate Drive,Frederick,MD,28,559976,86/ 3/ 215,Westview,Westview Corporate Center LLC,RP Westview LLC,12/5/2018,12747/ 289,Leased-Fee,Arms-Length,Unknown,"$16,450,000.00 ",$77.15 ,40%,Unknown,Unknown,"735,816","213,234",1988,Onsite parking available,ORI,All available,,,,,"The property has approximately .92 acres or 40,114 square feet of land and is improved with a one-story office building that has approximately 10,186 square feet of gross building area.  According to Frederick County land records, the building was originally constructed in 1986.  At the time of the sale, the building is 100% occupied.  The Frederick Surgical Center occupies approximately 6,509 square feet (65%) on the southern portion of the building.  The remainder of the building, which includes approximately 3,677 square feet of gross building area (35%), was leased to Baker Rehab.  Capitalization rate was 8%."
01-2011-30600-001,Frederick,Mixed,Biggs Ford Road,Frederick,MD,20,408529,48/ 024/ 0167,"Lot 1, Section 1 Memory Lane Pop Inc",,,,,,,,"$1,499,000.00 ",$150.50 ,5%,"$104,179 ",8%,"45,302","9,960",1986,Onsite parking available,GC,All available,,,,,"The site is improved with a mixed-use building: retail/showroom along the entirety of the first floor and two residential apartments.   The building contains 9,960 square feet of gross building area according to Frederick County Land Records.  The building was built in 1986 with concrete block and wood frame construction.  The roof is sloped asphalt shingle.  The entirety of the first floor contains 6,960 square feet of gross building area is owner occupied as the retail/showroom for “Family’s Choice, Inc.”  The second floor is split between two apartments each containing 1,500 square feet of gross building area.  Each apartment contains two bedrooms, bathroom, kitchen living room, and dining area.  Overall, the subject property is in average (+) condition. "
01-2011-30600-002,Frederick,Mixed,28 East Sixth Street,Frederick,MD,2,122383,414/ 4/ 1951A,E Sixth Street Fred. City,BS 6th Street Properties LLC,Canons Roar LLC,3/27/2018,12358/ 384,Leased-Fee,Arms-Length,485,"$425,000.00 ",$88.43 ,Unknown,Unknown,Unknown,"18,070","4,806",1930,Onsite parking available,DR,All available,,,,,"This property improved with a main mixed use: flex warehouse, office, and one-bedroom apartment and storage warehouse building.  Property also included small shed.  Warehouse and office was in good condition and residential apartment was considered fair condition. Property was located in Downtown Frederick. "
01-2011-30600-003,Frederick,Mixed,5 West Potomac Street,Brunswick,MD,25,468783,201/ 3/ 927,5 W. Potomac St Brunswick,West Brunswick LLC,Nasser Nest Property,3/19/2018,12335/ 107,Leased-Fee,Arms-Length,192,"$310,000.00 ",$69.17 ,0%,Unknown,Unknown,"2,528","4,482",1900,No onsite parking,B-2,All available,,,,,"At the time of sale, the mixed-use building with two retail and one apartment unit on first floor and three additional apartments upstairs.  The property had been recently renovated and was in average condition relative to the local market area.  "
01-2011-30600-004,Frederick,Mixed,301 West Patrick Street,Frederick,MD,2,80028,417/ 1/ 204B,"Lot 1, Section 1 College Ave. Townhouses",Ryan,Vu and Nguyen,10/26/2016,11471/ 477,Leased-Fee,Arms-Length,475,"$370,000.00 ",$148.71 ,Unknown,Unknown,Unknown,"1,350","2,488",1900,5 spaces onsite parking,DB,All available,,,,,"Office building that could be used for first floor retail.  First floor includes office, conference, kitchen, and restroom.  Second floor has two full bathrooms and three offices.    Property include 5 parking spaces.  Purchaser plans to use as a pharmacy.  Confirmed transaction with listing agent, Nancy Green.  "
01-2011-30600-005,Frederick,Mixed,1090 West Patrick Street,Frederick,MD,2,120178,412/ 2/ 121,"Lot 6, S/SRt 40",Hillcrest Corner Partnership,Gupta Realty LLC,11/16/2017,12137/ 101,Fee Simple,Arms-Length,Unknown,"$2,025,000.00 ",$206.63 ,0%,Unknown,Unknown,"22,215","9,800",1985,30 spaces onsite parking,R12,All available,,,,,"Free standing retail/office building with approximately 9,800 feet of gross building area that was originally constructed in 1985.  Property has 30 parking spaces and was 100% occupied at the time of sale."
01-2011-30600-006,Frederick,Mixed,43 East Patrick Street,Frederick,MD,2,92824,414/ 4/ 139B,43-45 E. Pat. St. Frederick,J Gal LLC,East Patrick LLC,6/26/2019,13051/ 401,Leased-Fee,Arms-Length,35,"$800,000.00 ",$171.98 ,Unknown,Unknown,Unknown,"3,278","4,822",1889,4 spaces onsite parking,DB,All available,,,,,"The property is a mixed use: retail and residential apartment building containing a total of 4,822 SFGBA.  The building included first floor retail and four upstairs residential apartments.  Property contains four off-street parking spaces and was considered above fair (+) condition at the time of sale.  "
01-2011-30600-007,Frederick,Mixed,322 North Market Street,Frederick,MD,2,86557,414/ 1/ 1542A,322-324 N Mkt St. Frederick,Pierce Thomas Hill-Trustee,Northern Star Property Mgmt LLC,5/30/2019,13006/ 244,Leased-Fee,Arms-Length,92,"$685,200.00 ",$171.98 ,Unknown,Unknown,Unknown,"5,622","3,984",1874,8 spaces onsite parking,DB,All available,,,,,"The property is a mixed use: retail and residential apartment building containing a total of 4,822 SFGBA.  The building included first floor retail and four upstairs residential apartments.  Property contains four off-street parking spaces and was considered above fair (+) condition at the time of sale.  "
01-2011-30600-008,Frederick,Mixed,42-46 North Market Street,Frederick,MD,2,61570,413/ 6/ 697,42-46 North Market St Frederick,Boehman & Weiglet LLC,Bowers Brewing Company,12/7/2018,12755/ 442,Leased-Fee,Arms-Length,Unknown,"$2,050,000.00 ",$158.24 ,Unknown,Unknown,Unknown,"5,798","12,955",1910,No onsite parking,DB,All available,,,,,"The property is a mixed use: Restaurant and office building containing 12,955 SFGBA.  The first floor is restaurant leased to Isabella’s Taverna and Bar. The second, third, and fourth floor are office space.  The purchaser of this sale was the first-floor restaurant owner.  The price was agreed on with the assistance of a local broker representing both parties.  The building interior is in above average condition, consistent with other historic properties in downtown Frederick.  However, the elevator adds additional access utility that is considered superior. "
01-2011-30600-009,Frederick,Mixed,2 East Main Street,Thurmont,MD,15,330406,752/ 17/ 1658,E Main & Water St Thurmont,Molly Carren,Kim Chang,10/3/2018,12652/ 294,Fee Simple,Arms-Length,Unknown,"$250,000.00 ",$65.00 ,Unknown,Unknown,Unknown,"2,046","3,864",1890,No onsite parking,TB,All available,,,,,Mixed use property originally constructed in 1890.  The building consists of a retail store on the first floor and office on the second floor.  There is no off street parking.  The building was in average condition at the time of sale.
01-2011-30600-010,Frederick,Mixed,142-144 West Patrick Street,Frederick,MD,2,87979,417/ 2/ 70B,142-144 W Patrick St Frederick,Tregoning Enterprises Inc,Audry Couloumbis,6/15/2018,12469/ 150,Fee Simple,Arms-Length,134,"$890,000.00 ",$122.00 ,Unknown,Unknown,Unknown,"4,355","7,316",1840,No onsite parking,DB,All available,,,,,The property consists of one retail store located on the first floor and apartment units on the second and third floors. There was no off-street parking. The building  was in average condition at the time of sale.
01-2011-30600-011,Frederick,Mixed,236 North Market Street,Frederick,MD,2,119749,414/ 1/ 716B,RR 236-236A N Mkt St Frederick,Exposition LLC,236 North Market LLC,7/21/2017,1194/ 139,Fee Simple,Arms-Length,36,"$840,000.00 ",$144.73 ,Unknown,Unknown,Unknown,"4,336","5,804",Unknown,No onsite parking,DB,All available,,,,,The property consists of one retail store located on the first floor (pharmacy) and three apartment units. There was no off-street parking but large courtyard. The building had some deferred maintenance along interior at time of sale and was in average (-) condition.
01-2011-30600-012,Frederick,Mixed,141-143 North Market St,Frederick,MD,2,109174,413/ 6/ 671,"141, 141A &143 N Mkt St Frederick",Lucido D Trustee,Corey & Nicole Schoo,9/9/2019,13196/ 497,Leased-Fee,Arms-Length,Unknown,"$870,000.00 ",$141.42 ,5%,"$60,146 ",8%,"5,166","6,152",1890,No onsite parking,DB,All available,,,,,"At the time of the property inspection, the subject property is improved with a three-story mixed-use building that has approximately 6,152 square feet of gross building area.  The first floor includes three retail tenants and a storage area.  The second and third floors include a total of four one-bedroom and one-bathroom apartment units, two located on each floor.  The building was originally constructed in 1890, based on information in Frederick County's land records.   The building rests on a stone masonry foundation and brick construction.  Overall, the property is in fair (+) condition with deferred maintenance primarily noted in the upstairs unit interior, rear balcony, and first floor roof.  "
01-2011-30600-013,Frederick,Mixed,27-29 North Market Street,Frederick,MD,2,88304,413/ 6/ 683,27-29 N Market St Frederick,JJZ Limited Partnership,27-29 North Market St LLC,3/22/2019,12894/ 320,Leased-Fee,Arms-Length,Unknown,"$1,090,000.00 ",$179.57 ,Unknown,Unknown,Unknown,"2,228","6,070",1915,No onsite parking,DB,All available,,,,,"The property is a mixed use: retail and residential apartment building containing a total of 6,070 SFGBA.  The building included first floor retail, and four apartment units along the top two floors.  Property did not contain off-street parking and was considered average condition at the time of sale.  "
01-2011-30600-014,Frederick,Mixed,8 East Church Street ,Frederick,MD,2,99306,414/ 4/ 278B,8 E Church St Frederick,Brian Ward,S&W 8  ast Church LLC,12/13/2018,12894/ 438,Leased-Fee,Arms-Length,3,"$599,999.00 ",$243.90 ,Unknown,Unknown,Unknown,"2,074","2,460",1985,2 spaces onsite parking,DBO,All available,,,,,"The property is a mixed use: retail and residential apartment building containing a total of 2,460 SFGBA.  The building included first floor retail and two upstairs residential.  Property contains two off-street parking spaces and was considered above average condition at the time of sale.  "
